,title,year,genre,description,score,soup
2285,despicable me 3,2017,"animation, adventure, comedy","Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",6.1450986005733945,"despicable me 3 english kyle balda, pierre coffin animation, adventure, comedy steve carell, kristen wiig, trey parker, miranda cosgrove, dana gaier, nev scharrel, pierre coffin, steve coogan, julie andrews, jenny slate, michael beattie, andy nyman, adrian ciscato, brian t. delaney, katia saponenko"
2286,sing,2016,"animation, comedy, family","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",6.669183693231911,"sing english, japanese, ukrainian garth jennings, christophe lourdelet animation, comedy, family matthew mcconaughey, reese witherspoon, seth macfarlane, scarlett johansson, john c. reilly, taron egerton, tori kelly, jennifer saunders, jennifer hudson, garth jennings, peter serafinowicz, nick kroll, beck bennett, jay pharoah, nick offerman"
2287,the walk,2015,"adventure, biography, drama","In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.",6.7715047157477635,"the walk english, french, czech robert zemeckis adventure, biography, drama joseph gordon-levitt, guillaume baillargeon, émilie leclerc, mark trafford, inka malovic, lucas ramacière, martin lefebvre, philippe bertrand, laurence deschênes, patricia tulasne, jean-robert bourdage, sylvie lemay, sasha dominique, soleyman pierini, jade kindar-martin"
2288,captain america: civil war,2016,"action, adventure, sci-fi",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.6064907148055125,"captain america: civil war english, german, xhosa, russian, romanian, hindi anthony russo, joe russo action, adventure, sci-fi chris evans, robert downey jr., scarlett johansson, sebastian stan, anthony mackie, don cheadle, jeremy renner, chadwick boseman, paul bettany, elizabeth olsen, paul rudd, emily vancamp, tom holland, daniel brühl, frank grillo"
2289,thor: ragnarok,2017,"action, adventure, comedy","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.664875925381981,"thor: ragnarok english taika waititi action, adventure, comedy chris hemsworth, tom hiddleston, cate blanchett, idris elba, jeff goldblum, tessa thompson, karl urban, mark ruffalo, anthony hopkins, benedict cumberbatch, taika waititi, rachel house, clancy brown, tadanobu asano, ray stevenson"
2290,the disaster artist,2017,"biography, comedy, drama",When,6.851272859017738,"the disaster artist english james franco biography, comedy, drama dave franco, james franco, seth rogen, ari graynor, alison brie, jacki weaver, paul scheer, zac efron, josh hutcherson, june diane raphael, megan mullally, jason mantzoukas, andrew santino, nathan fielder, joe mande"
2291,moana,2016,"animation, adventure, comedy","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",7.216804957801383,"moana english ron clements, john musker animation, adventure, comedy auli'i cravalho, dwayne johnson, rachel house, temuera morrison, jemaine clement, nicole scherzinger, alan tudyk, oscar kightley, troy polamalu, puanani cravalho, louise bush"
2292,nerve,2016,"adventure, crime, drama","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",6.27186386231238,"nerve english henry joost, ariel schulman adventure, crime, drama emma roberts, dave franco, emily meade, miles heizer, juliette lewis, kimiko glenn, marc john jefferies, machine gun kelly, brian marc, ed squires, rightor doyle, josh ostrovsky, eric d'alessandro, arielle vandenberg, jonny beauchamp"
2293,american made,2017,"action, biography, comedy","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",6.708663917904006,"american made english, spanish doug liman action, biography, comedy tom cruise, domhnall gleeson, sarah wright, jesse plemons, caleb landry jones, lola kirke, jayma mays, alejandro edda, benito martinez, e. roger mitchell, jed rees, fredy yate, mauricio mejía, robert farrior, morgan hinkleman"
2294,sing street,2016,"comedy, drama, music",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,7.013684098286472,"sing street english, french, latin john carney comedy, drama, music ferdia walsh-peelo, kelly thornton, maria doyle kennedy, jack reynor, aidan gillen, ian kenny, ben carolan, percy chamburuka, mark mckenna, don wycherley, des keogh, kian murphy, dolores mullally, lucy boynton, marcella plunkett"
